Name,Latitude,Longitude,Place ID,Rating,User Ratings Total,Address,Types
Sede da empresa (Ponto inicial),"-22,9193268","-43,2501861",ID_GERADO,,,"R. Barão de São Francisco, 236 - Vila Isabel, Rio de Janeiro - RJ",
Praça da República - Campo de Santana,"-22,9068001","-43,1885416",ChIJ-SApQ2l_mQARnALEEfr3Yy8,"4,1",12087,"Centro, Rio de Janeiro","park, tourist_attraction, point_of_interest, establishment"
Cristo Redentor,"-22,951916","-43,2104872",ChIJP6FKmNV_mQAR3gKVAdeEyZ0,"4,8",118449,"Parque Nacional da Tijuca - Alto da Boa Vista, Rio de Janeiro","tourist_attraction, point_of_interest, establishment"
Theatro Municipal do Rio de Janeiro,"-22,9090481","-43,1765575",ChIJUSQw7WF_mQARQKXFPmK9_6A,"4,8",19727,"Praça Floriano, S/N - Centro, Rio de Janeiro","tourist_attraction, point_of_interest, establishment"
Maracanã,"-22,912161","-43,2301712",ChIJDYuIul1-mQAR5XRi7ogx8_U,"4,7",103219,"Rua Professor Eurico Rabelo - Maracanã, Rio de Janeiro","stadium, tourist_attraction, point_of_interest, establishment"
Fundição Progresso,"-22,9124164","-43,1806335",ChIJf1woiGR_mQARyXRjaTaeIBc,"4,6",7077,"Rua dos Arcos, 24 - a 50 - Centro, Rio de Janeiro","tourist_attraction, point_of_interest, establishment"
Fundação Biblioteca Nacional,"-22,9096965","-43,1755177",ChIJ0QTJyWF_mQAR4t3oNko2kQo,"4,5",1002,"Avenida Rio Branco, 219 - Centro, Rio de Janeiro","tourist_attraction, library, point_of_interest, establishment"
Jardim Botânico do Rio de Janeiro,"-22,9676948","-43,2246648",ChIJA0tgM6PVmwARYbqb7Eo9VO4,"4,7",43138,"Rua Jardim Botânico, 1008 - Jardim Botânico, Rio de Janeiro","tourist_attraction, park, point_of_interest, establishment"
Catedral Metropolitana de São Sebastião do Rio de Janeiro,"-22,9106741","-43,180777",ChIJaXW-F2R_mQARjtqcwUcZSfM,"4,7",22332,"Avenida República do Chile, 245 - Centro, Rio de Janeiro","tourist_attraction, church, place_of_worship, point_of_interest, establishment"
Fundação Planetário da Cidade do Rio de Janeiro,"-22,9778964","-43,2301598",ChIJXbKphbbVmwARkyFh0LoSTOY,"4,5",1388,"Rua Vice-Governador Rúbens Berardo, 100 - Gávea, Rio de Janeiro","tourist_attraction, movie_theater, museum, point_of_interest, establishment"
Assembleia Legislativa do Estado do Rio de Janeiro,"-22,9066151","-43,176405",ChIJvch0AuKBmQARa8EZwQfXKO4,"4,3",535,"Rua da Ajuda, 5 - Centro, Rio de Janeiro","tourist_attraction, local_government_office, point_of_interest, establishment"
Paróquia Nossa Senhora de Copacabana,"-22,9690683","-43,1832631",ChIJrUO6YFDVmwARA_xn-WO3k3U,"4,7",2221,"Rua Hilário de Gouveia, 36 - Copacabana, Rio de Janeiro","tourist_attraction, church, place_of_worship, point_of_interest, establishment"
BioParque do Rio,"-22,9043309","-43,2289773",ChIJ8bDN5_Z-mQAROixoqiaG1gY,"4,2",42095,"Parque da Quinta da Boa Vista S/N - São Cristóvão, Rio de Janeiro","tourist_attraction, zoo, point_of_interest, establishment"
Maracanãzinho | Ginásio Gilberto Cardoso,"-22,9139772","-43,2294451",ChIJDYuIul1-mQARAafCRTkkdAQ,"4,7",2853,"Rua Professor Eurico Rabelo, s/n - Maracanã, Rio de Janeiro","tourist_attraction, point_of_interest, establishment"
Arcos da Lapa | Aqueduto da Carioca,"-22,9130414","-43,1799591",ChIJV30alGR_mQARXw03wD-LgiI,"4,4",23054,"Lapa, Rio de Janeiro","tourist_attraction, point_of_interest, establishment"
Igreja de Nossa Senhora da Glória do Outeiro,"-22,921331","-43,175307",ChIJY5-Azn1_mQAR1nohflxBA_8,"4,7",1069,"Praça Nossa Senhora da Glória, 26 - Glória, Rio de Janeiro","tourist_attraction, church, place_of_worship, point_of_interest, establishment"
Parque Eduardo Guinle,"-22,9308436","-43,1828118",ChIJr02tNYV_mQARYiP3ZAzKpZ8,"4,7",8319,"Rua Paulo César de Andrade, s/n - Laranjeiras, Rio de Janeiro","tourist_attraction, park, point_of_interest, establishment"
Museu da Vida Fiocruz,"-22,8767324","-43,2443343",ChIJKTscSaV-mQARELVVUvouOCA,"4,8",1579,"Avenida Brasil, 4365 - Manguinhos, Rio de Janeiro","museum, tourist_attraction, point_of_interest, establishment"
Museu de Astronomia e Ciências Afins,"-22,8959169","-43,2227535",ChIJzyDl_eV-mQAReMW7fLq8c1o,"4,7",2345,"Rua General Bruce, 586 - São Cristóvão, Rio de Janeiro","tourist_attraction, museum, point_of_interest, establishment"
Sambódromo Marquês de Sapucaí,"-22,9114522","-43,196804",ChIJRQHQkQ1_mQARfRZwxYdugdA,"4,5",26051,"Rua Marquês de Sapucaí - Santo Cristo, Rio de Janeiro","tourist_attraction, point_of_interest, establishment"
Parque Lage,"-22,9581535","-43,2116429",ChIJfw5LPHjVmwARI8TbAsKq5CQ,"4,6",46257,"R. Jardim Botânico, 414 - Jardim Botânico, Rio de Janeiro","park, tourist_attraction, point_of_interest, establishment"
Igreja Nossa Senhora do Carmo da Antiga Sé,"-22,9033915","-43,1753951",ChIJm2g1bV9_mQARapHw1bCoth8,"4,9",1186,"Rua Sete de Setembro, 14 - Centro, Rio de Janeiro","tourist_attraction, museum, church, place_of_worship, point_of_interest, establishment"
Casa França-Brasil,"-22,9005253","-43,1757646",ChIJn-4P7Fh_mQARpnoOXO4uihM,"4,6",1528,"Rua Visconde de Itaboraí, 78 - Centro, Rio de Janeiro","tourist_attraction, point_of_interest, establishment"
Igreja Matriz de Nossa Senhora da Candelária,"-22,9007958","-43,1775439",ChIJIe1CNFl_mQARG8VNRU8zMXY,"4,6",15471,"Praça Pio X, s/n - Centro, Rio de Janeiro","tourist_attraction, church, place_of_worship, point_of_interest, establishment"
Fiocruz - Castelo Mourisco,"-22,8749473","-43,2454285",ChIJoaaal6V-mQARN2GhWM0H4A0,"4,9",3720,"Predio do CTV 360 - Avenida Brasil, 4365 - Manguinhos, Rio de Janeiro","tourist_attraction, point_of_interest, establishment"
Jeep Tour,"-22,9010583","-43,224431",ChIJ_daeFfB-mQARRgals-wQ6eQ,"4,6",138,"Rua João Ricardo, 24 - São Cristóvão, Rio de Janeiro","travel_agency, tourist_attraction, point_of_interest, establishment"
Paróquia Matriz de Nossa Senhora da Glória,"-22,931186","-43,1798689",ChIJA-SWwIZ_mQARZhCvr4FdDjs,"4,8",2385,"Largo do Machado, s/n - Catete, Rio de Janeiro","tourist_attraction, church, place_of_worship, point_of_interest, establishment"
Real Gabinete Português de Leitura,"-22,9053207","-43,1822403",ChIJS1nNgmd_mQARQzyarreSaEM,"4,8",2759,"Rua Luís de Camões, 30 - Centro, Rio de Janeiro","tourist_attraction, library, point_of_interest, establishment"
Fundação Casa de Rui Barbosa,"-22,9488011","-43,1870261",ChIJ8wnYC-9_mQARcI4__yOG8TM,"4,8",2687,"Rua São Clemente, 134 - Botafogo, Rio de Janeiro","tourist_attraction, museum, point_of_interest, establishment"
Museu do Samba,"-22,9016667","-43,2408333",ChIJGx7BXoh-mQARK_B4SbrTjTI,"4,5",455,"Rua Visconde de Niterói, 1296 - Mangueira, Rio de Janeiro","museum, tourist_attraction, point_of_interest, establishment"
Convento de Nossa Senhora da Conceição da Ajuda,"-22,9169305","-43,251793",ChIJ0d1kUQp-mQARZ17Wa3A9NKc,"4,7",62,"Rua Engenheiro Gama Lôbo, 509 - Vila Isabel, Rio de Janeiro","tourist_attraction, church, place_of_worship, point_of_interest, establishment"
Pedra do Arpoador,"-22,9903829","-43,1909875",ChIJfVzFqCPVmwARUBFlJIm6e8k,"4,8",29804,"Avenida Francisco Bhering, s/n - Ipanema, Rio de Janeiro","tourist_attraction, landmark, point_of_interest, establishment"
Mirantao,"-22,9011205","-43,2716446",ChIJ6ZhYkbd9mQARJJ0N13gYnw4,5,1,"Rua Soares, 1 - Centro, Rio de Janeiro","tourist_attraction, point_of_interest, establishment"
Museu da Polícia Civil do Estado do Rio de Janeiro,"-22,9106597","-43,185097",ChIJabwOd29_mQARKGuNjNLqwuM,"4,2",73,"Rua da Relação, 40 - 2ª andar - Centro, Rio de Janeiro","museum, tourist_attraction, point_of_interest, establishment"
Paróquia Nossa Senhora do Líbano - Católica - Rito maronita,"-22,9312428","-43,2391687",ChIJIVr_4xB-mQARA3_foQEaiIA,"4,7",463,"Rua Conde de Bonfim, 638 - Tijuca, Rio de Janeiro","tourist_attraction, church, place_of_worship, point_of_interest, establishment"
Templo de Apolo,"-22,9054649","-43,2222654",ChIJiS4yHPp-mQARAgzgz4kGrs8,"4,5",73,Lago da Quinta da Boa Vista s/n - São Cristóvão,"tourist_attraction, point_of_interest, establishment"
Espaço Cultural da Marinha,"-22,9004672","-43,1749402",ChIJ3Vt-cOKBmQARV_PYv8SfH2A,"4,7",7611,"Avenida Alfred Agache, S/N - Centro, Rio de Janeiro","tourist_attraction, museum, point_of_interest, establishment"
Centro Cultural Jerusalém,"-22,8807014","-43,2734718",ChIJcSsrEEd8mQARzsVXC8nv8uk,"4,9",1710,"Avenida Dom Hélder Câmara, 3970 - Del Castilho, Rio de Janeiro","tourist_attraction, book_store, store, point_of_interest, establishment"
Parque Nacional da Tijuca,"-22,9507733","-43,2860901",ChIJ4zqbyNV_mQAR_BSfApu9sEY,"4,8",21144,"Estrada da Cascatinha, 850 - Alto da Boa Vista, Rio de Janeiro","tourist_attraction, park, point_of_interest, establishment"